#Date,TotalDistance
2026/04/17 18:15:00,670.7
#Screen_X,Screen_Y,GazeDataCount
820,487,57
#GameTime,Gaze_X,Gaze_Y,SourceId
0.64,399,187,0
0.66,399,187,0
0.68,399,187,0
0.70,399,187,0
0.72,399,187,0
0.74,399,187,0
0.76,397,189,0
0.78,394,196,0
0.80,390,202,0
0.82,389,206,0
0.84,387,209,0
0.86,386,214,0
0.88,385,222,0
0.90,385,232,0
0.92,388,246,0
0.94,395,259,0
0.96,411,270,0
0.98,438,280,0
1.00,455,285,0
1.02,479,289,0
1.04,512,292,0
1.06,550,292,0
1.08,584,292,0
1.10,607,292,0
1.12,616,292,0
1.14,617,292,0
1.16,617,292,0
1.18,617,292,0
1.20,617,292,0
1.22,617,292,0
1.24,617,292,0
1.26,617,292,0
1.28,617,292,0
1.30,617,292,0
1.32,617,292,0
1.34,617,292,0
1.36,617,292,0
1.38,617,292,0
1.40,617,292,0
1.42,617,292,0
1.44,617,292,0
1.46,617,292,0
1.48,617,292,0
1.50,617,292,0
1.52,617,292,0
1.54,617,292,0
1.56,617,292,0
1.58,617,292,0
1.60,617,292,0
1.62,617,292,0
1.64,617,292,0
1.66,617,292,0
1.68,617,292,0
1.70,604,287,0
1.72,576,277,0
1.74,483,259,0
1.76,258,235,0
