#Date,TotalDistance
2026/04/17 17:37:32,5086.4
#Screen_X,Screen_Y,GazeDataCount
2560,1259,191
#GameTime,Gaze_X,Gaze_Y
0.84,382,167
0.86,382,167
0.88,382,167
0.90,382,167
0.92,382,167
0.94,382,167
0.96,382,167
0.98,384,173
1.00,385,178
1.02,391,192
1.04,393,199
1.06,400,211
1.08,409,223
1.10,416,232
1.12,422,240
1.14,425,242
1.16,427,243
1.18,427,243
1.20,427,243
1.22,427,243
1.24,428,243
1.26,434,244
1.28,441,244
1.30,451,242
1.32,468,234
1.34,488,218
1.36,503,205
1.38,521,189
1.40,538,170
1.42,549,158
1.44,560,145
1.46,570,134
1.48,578,127
1.50,585,118
1.52,592,109
1.54,596,104
1.56,597,104
1.58,597,104
1.60,597,104
1.62,597,104
1.64,597,104
1.66,597,104
1.68,597,104
1.70,597,104
1.72,588,110
1.74,575,122
1.76,559,134
1.78,539,147
1.80,519,159
1.82,498,169
1.84,480,176
1.86,467,181
1.88,454,186
1.90,431,192
1.92,404,197
1.94,374,203
1.96,352,206
1.98,340,208
2.00,329,209
2.02,327,210
2.04,327,210
2.06,327,210
2.08,319,210
2.10,304,212
2.12,288,214
2.14,269,215
2.16,262,215
2.18,262,215
2.20,262,215
2.22,262,215
2.24,262,215
2.26,262,215
2.28,262,215
2.30,262,215
2.32,262,215
2.34,262,215
2.36,261,218
2.38,248,240
2.40,202,288
2.42,137,334
2.44,79,368
2.46,49,386
2.48,47,388
2.50,44,390
2.52,42,399
2.54,42,408
2.56,42,414
2.58,42,418
2.60,42,422
2.62,42,432
2.64,35,455
2.66,29,475
2.68,28,479
2.70,27,481
2.72,27,484
2.74,27,486
3.28,1772,518
3.30,1772,518
3.32,1772,518
3.34,1772,518
3.36,1772,518
3.38,1772,518
3.40,1772,518
3.42,1771,518
3.44,1767,518
3.46,1752,518
3.48,1736,518
3.50,1704,522
3.52,1636,530
3.54,1515,548
3.56,1405,566
3.58,1302,584
3.60,1260,593
3.62,1251,596
3.64,1251,596
3.66,1251,596
3.68,1251,596
3.70,1251,596
3.72,1251,596
3.74,1251,596
3.76,1251,596
3.78,1251,596
3.80,1251,596
3.82,1251,596
3.84,1238,598
3.86,1204,602
3.88,1145,611
3.90,1065,623
3.92,982,637
3.94,924,646
3.96,902,650
3.98,902,651
4.00,902,651
4.02,902,651
4.04,902,651
4.06,902,651
4.08,902,651
4.10,901,651
4.12,894,653
4.14,875,654
4.16,851,655
4.18,830,656
4.20,815,656
4.22,812,656
4.24,812,656
4.26,812,656
4.28,812,656
4.30,812,656
4.32,812,656
4.34,817,659
4.36,838,663
4.38,881,669
4.40,937,679
4.42,1016,690
4.44,1101,696
4.46,1181,697
4.48,1267,698
4.50,1333,700
4.52,1388,700
4.54,1421,700
4.56,1449,698
4.58,1468,697
4.60,1481,697
4.62,1486,697
4.64,1489,696
4.66,1490,696
4.68,1491,696
4.70,1491,696
4.72,1491,696
4.74,1491,696
4.76,1491,696
4.78,1491,696
4.80,1485,697
4.82,1475,705
4.84,1437,751
4.86,1386,814
4.88,1354,885
4.90,1338,968
4.92,1332,1037
4.94,1329,1090
4.96,1326,1122
4.98,1322,1140
5.00,1316,1152
5.02,1309,1166
5.04,1303,1178
5.06,1298,1189
5.08,1289,1205
5.10,1281,1220
5.12,1275,1229
5.14,1267,1239
5.16,1255,1252
