#Date,TotalDistance
2026/04/17 09:30:34,5134.5
#Screen_X,Screen_Y,GazeDataCount
448,252,1315
#GameTime,Gaze_X,Gaze_Y
29.46,386,163
29.48,386,163
29.50,386,163
29.52,386,163
29.54,386,164
29.56,386,164
29.58,386,164
29.60,386,164
29.62,386,164
29.64,386,164
29.66,386,164
29.68,386,164
29.70,386,164
29.72,386,164
29.74,386,164
29.76,386,164
29.78,386,164
29.80,386,164
29.82,386,164
29.84,386,164
29.86,386,164
29.88,386,164
29.90,386,164
29.92,386,164
29.94,386,164
29.96,386,164
29.98,386,164
30.00,391,166
30.02,394,168
30.04,399,171
30.06,402,172
30.08,406,174
30.10,408,176
30.12,410,177
30.14,411,177
30.16,412,178
30.18,412,178
30.20,412,178
30.22,413,178
30.24,413,178
30.26,413,178
30.28,413,178
30.30,413,178
30.32,413,178
30.34,413,178
30.36,413,178
30.38,413,178
30.40,413,178
30.42,413,178
30.44,413,178
30.46,413,178
30.48,413,178
30.50,413,178
30.52,413,178
30.54,413,178
30.56,413,178
30.58,413,178
30.60,413,178
30.62,413,178
30.64,413,178
30.66,413,178
30.68,413,178
30.70,413,178
30.72,413,178
30.74,413,178
30.76,415,179
30.78,416,179
30.80,418,180
30.82,419,181
30.84,421,182
30.86,421,182
30.88,422,182
30.90,423,183
30.92,423,183
30.94,423,183
30.96,423,183
30.98,423,183
31.00,423,183
31.02,423,184
31.04,423,184
31.06,424,184
31.08,424,184
31.10,424,184
31.12,424,184
31.14,424,184
31.16,424,184
31.18,424,184
31.20,424,184
31.22,424,184
31.24,424,184
31.26,424,184
31.28,424,184
31.30,424,184
31.32,424,184
31.34,424,184
31.36,423,184
31.38,417,179
31.40,395,163
31.42,361,142
31.44,318,114
31.46,284,94
31.48,256,76
31.50,236,61
31.52,229,54
31.54,224,46
31.56,224,46
31.58,224,46
31.60,224,46
31.62,224,46
31.64,224,46
31.66,224,46
31.68,224,46
31.70,224,46
31.72,224,46
31.74,224,46
31.76,224,46
31.78,223,42
31.80,219,30
31.82,215,19
31.84,207,2
32.40,276,2
32.42,284,4
32.44,288,5
32.46,293,6
32.48,295,7
32.50,298,7
32.52,299,7
32.54,300,7
32.56,300,7
32.58,301,7
32.60,303,7
32.62,306,7
32.64,308,7
32.66,311,8
32.68,312,12
32.70,313,16
32.72,313,21
32.74,313,29
32.76,313,37
32.78,312,50
32.80,312,59
32.82,310,73
32.84,309,81
32.86,308,88
32.88,308,92
32.90,307,95
32.92,306,96
32.94,305,98
32.96,304,99
32.98,303,100
33.00,302,101
33.02,302,102
33.04,301,103
33.06,301,104
33.08,301,105
33.10,300,105
