#Date,TotalDistance
2026/04/22 17:55:45,8260.5
#Screen_X,Screen_Y,GazeDataCount
1920,1080,249
#GameTime,Gaze_X,Gaze_Y
1.22,824,440
1.24,824,440
1.26,824,440
1.28,824,440
1.30,824,440
1.32,824,440
1.34,824,440
1.36,824,440
1.38,824,434
1.40,810,418
1.42,786,403
1.44,762,391
1.46,730,379
1.48,698,379
1.50,632,393
1.52,539,414
1.54,485,432
1.56,451,452
1.58,439,472
1.60,429,504
1.62,427,532
1.64,431,568
1.66,445,614
1.68,463,650
1.70,487,687
1.72,509,709
1.74,539,729
1.76,576,747
1.78,626,763
1.80,676,773
1.82,740,779
1.84,814,779
1.86,905,779
1.88,987,771
1.90,1067,761
1.92,1122,749
1.94,1172,737
1.96,1214,723
1.98,1250,709
2.00,1286,693
2.02,1312,681
2.04,1350,658
2.06,1383,638
2.08,1407,620
2.10,1435,590
2.12,1453,556
2.14,1471,528
2.16,1483,490
2.18,1491,464
2.20,1497,432
2.22,1499,406
2.24,1499,381
2.26,1497,359
2.28,1487,337
2.30,1467,311
2.32,1447,291
2.34,1419,269
2.36,1399,253
2.38,1365,237
2.40,1328,227
2.42,1282,219
2.44,1198,209
2.46,1096,205
2.48,961,203
2.50,869,203
2.52,798,207
2.54,744,217
2.56,706,229
2.58,672,245
2.60,632,265
2.62,600,289
2.64,564,319
2.66,539,345
2.68,523,371
2.70,513,391
2.72,505,416
2.74,499,440
2.76,499,466
2.78,501,488
2.80,509,510
2.82,521,538
2.84,535,566
2.86,556,592
2.88,578,618
2.90,606,646
2.92,626,662
2.94,648,679
2.96,664,685
2.98,692,695
3.00,730,705
3.02,784,715
3.04,833,719
3.06,895,721
3.08,965,721
3.10,1033,727
3.12,1098,729
3.14,1142,729
3.16,1174,723
3.18,1210,717
3.20,1262,709
3.22,1306,703
3.24,1356,689
3.26,1387,677
3.28,1413,666
3.30,1435,654
3.32,1461,630
3.34,1487,606
3.36,1527,568
3.38,1549,544
3.40,1571,516
3.42,1587,482
3.44,1593,446
3.46,1597,418
3.48,1597,383
3.50,1593,355
3.52,1585,325
3.54,1573,295
3.56,1561,273
3.58,1551,261
3.60,1529,243
3.62,1503,231
3.64,1469,227
3.66,1429,221
3.68,1360,217
3.70,1292,213
3.72,1230,213
3.74,1186,219
3.76,1152,225
3.78,1130,227
3.80,1102,229
3.82,1073,231
3.84,1017,237
3.86,927,249
3.88,829,259
3.90,740,269
3.92,672,281
3.94,626,293
3.96,610,299
3.98,602,303
4.00,598,307
4.02,588,309
4.04,572,321
4.06,551,327
4.08,521,333
4.10,495,333
4.12,481,331
4.14,471,311
4.16,467,287
4.18,463,267
4.20,461,251
4.22,465,233
4.24,471,217
4.26,475,211
4.28,481,205
4.30,481,205
4.32,491,203
4.34,511,195
4.36,547,189
4.38,602,181
4.40,680,173
4.42,752,173
4.44,833,175
4.46,877,183
4.48,911,195
4.50,931,207
4.52,949,223
4.54,973,251
4.56,1003,281
4.58,1037,321
4.60,1071,365
4.62,1095,397
4.64,1106,420
4.66,1112,440
4.68,1118,458
4.70,1128,468
4.72,1154,484
4.74,1186,500
4.76,1224,510
4.78,1244,512
4.80,1252,512
4.82,1262,508
4.84,1280,496
4.86,1298,486
4.88,1318,476
4.90,1340,462
4.92,1364,448
4.94,1401,428
4.96,1433,416
4.98,1455,405
5.00,1473,393
5.02,1487,379
5.04,1501,365
5.06,1513,351
5.08,1517,343
5.10,1521,333
5.12,1525,319
5.14,1525,303
5.16,1527,293
5.18,1529,285
5.20,1531,281
5.22,1535,277
5.24,1535,275
5.26,1539,271
5.28,1547,267
5.30,1563,257
5.32,1575,255
5.34,1583,255
5.36,1583,255
5.38,1589,259
5.40,1595,267
5.42,1601,275
5.44,1603,285
5.46,1603,295
5.48,1603,311
5.50,1603,321
5.52,1601,329
5.54,1599,337
5.56,1593,349
5.58,1587,357
5.60,1585,359
5.62,1577,369
5.64,1559,383
5.66,1529,406
5.68,1481,436
5.70,1437,460
5.72,1373,488
5.74,1328,504
5.76,1274,516
5.78,1220,520
5.80,1180,522
5.82,1138,522
5.84,1095,522
5.86,1059,518
5.88,1011,516
5.90,981,514
5.92,955,512
5.94,943,512
5.96,943,512
5.98,941,512
6.00,935,512
6.02,913,512
6.04,891,510
6.06,863,504
6.08,835,498
6.10,806,492
6.12,786,490
6.14,764,488
6.16,746,486
6.18,726,482
