#Date,TotalDistance
2026/04/17 18:26:52,7153.3
#Screen_X,Screen_Y,GazeDataCount
820,487,295
#GameTime,Gaze_X,Gaze_Y,SourceId
0.76,397,177,0
0.78,397,177,0
0.80,397,177,0
0.82,397,177,0
0.84,397,177,0
0.86,397,177,0
0.88,397,177,0
0.90,397,177,0
0.92,397,177,0
0.94,397,177,0
0.96,397,177,0
0.98,397,177,0
1.00,397,177,0
1.02,397,177,0
1.04,397,177,0
1.06,397,177,0
1.08,397,177,0
1.10,397,177,0
1.12,397,177,0
1.14,397,177,0
1.16,397,177,0
1.18,397,177,0
1.20,398,177,0
1.22,404,184,0
1.24,413,192,0
1.26,419,196,0
1.28,422,197,0
1.30,422,197,0
1.32,422,197,0
1.34,422,197,0
1.36,422,197,0
1.38,422,197,0
1.40,422,197,0
1.42,422,197,0
1.44,422,197,0
1.46,422,197,0
1.48,422,197,0
1.50,422,197,0
1.52,420,200,0
1.54,394,219,0
1.56,353,240,0
1.58,306,259,0
1.60,266,284,0
1.62,239,307,0
1.64,233,316,0
1.66,231,325,0
1.68,234,340,0
1.70,256,353,0
1.72,305,365,0
1.74,384,374,0
1.76,477,374,0
1.78,550,362,0
1.80,587,348,0
1.82,606,331,0
1.84,627,297,0
1.86,636,277,0
1.88,643,252,0
1.90,644,223,0
1.92,632,186,0
1.94,611,159,0
1.96,580,137,0
1.98,526,114,0
2.00,453,94,0
2.02,387,83,0
2.04,329,78,0
2.06,275,78,0
2.08,233,79,0
2.10,204,87,0
2.12,190,97,0
2.14,180,114,0
2.16,173,135,0
2.18,171,161,0
2.20,183,192,0
2.22,212,225,0
2.24,263,257,0
2.26,328,282,0
2.28,404,303,0
2.30,463,312,0
2.32,528,316,0
2.34,568,315,0
2.36,605,302,0
2.38,628,286,0
2.40,641,272,0
2.42,646,264,0
2.44,649,263,0
2.46,649,262,0
2.48,649,262,0
2.50,649,262,0
2.52,649,262,0
2.54,649,262,0
2.56,649,262,0
2.58,649,262,0
2.60,649,262,0
2.62,649,262,0
2.64,642,254,0
2.66,603,232,0
2.68,526,201,0
2.70,428,174,0
2.72,327,157,0
2.74,269,154,0
2.76,260,157,0
2.78,260,171,0
2.80,270,193,0
2.82,302,220,0
2.84,372,245,0
2.86,471,260,0
2.88,557,261,0
2.90,620,240,0
2.92,640,208,0
2.94,642,163,0
2.96,612,113,0
2.98,546,76,0
3.00,452,51,0
3.02,335,44,0
3.04,248,56,0
3.06,202,81,0
3.08,185,109,0
3.10,181,153,0
3.12,205,200,0
3.14,267,236,0
3.16,376,260,0
3.18,518,265,0
3.20,617,247,0
3.22,655,214,0
3.24,652,159,0
3.26,590,98,0
3.28,487,55,0
3.30,352,31,0
3.32,239,28,0
3.34,152,39,0
3.36,116,56,0
3.38,104,78,0
3.40,96,115,0
3.42,102,146,0
3.44,135,180,0
3.46,199,208,0
3.48,299,233,0
3.50,378,242,0
3.52,419,239,0
3.54,429,228,0
3.56,432,206,0
3.58,429,181,0
3.60,419,162,0
3.62,399,140,0
3.64,368,123,0
3.66,335,107,0
3.68,304,96,0
3.70,278,91,0
3.72,263,90,0
3.74,251,90,0
3.76,235,92,0
3.78,225,93,0
3.80,219,96,0
3.82,215,98,0
3.84,210,99,0
3.86,205,104,0
3.88,202,108,0
3.90,198,116,0
3.92,194,126,0
3.94,192,131,0
3.96,191,137,0
3.98,188,140,0
4.00,187,150,0
