#Date,TotalDistance
2026/04/17 18:33:17,2720.7
#Screen_X,Screen_Y,GazeDataCount
820,487,101
#GameTime,Gaze_X,Gaze_Y,SourceId
0.78,432,171,0
0.80,432,171,0
0.82,432,171,0
0.84,432,171,0
0.86,432,171,0
0.88,432,171,0
0.90,432,171,0
0.92,432,171,0
0.94,431,172,0
0.96,430,175,0
0.98,428,178,0
1.00,427,181,0
1.02,426,184,0
1.04,426,187,0
1.06,425,191,0
1.08,425,193,0
1.10,424,193,0
1.12,424,193,0
1.14,424,193,0
1.16,424,194,0
1.18,424,194,0
1.20,424,194,0
1.22,424,195,0
1.24,423,195,0
1.26,423,195,0
1.28,423,196,0
1.30,423,196,0
1.32,423,196,0
1.34,423,196,0
1.36,423,196,0
1.38,423,196,0
1.40,423,196,0
1.42,423,196,0
1.44,423,196,0
1.46,423,196,0
1.48,423,196,0
1.50,423,196,0
1.52,422,197,0
1.54,422,197,0
1.56,421,197,0
1.58,421,197,0
1.60,421,197,0
1.62,421,197,0
1.64,421,197,0
1.66,421,197,0
1.68,421,197,0
1.70,396,213,0
1.72,319,254,0
1.74,239,296,0
1.76,137,359,0
1.78,33,445,0
2.34,78,482,0
2.36,121,421,0
2.38,144,382,0
2.40,153,361,0
2.42,164,339,0
2.44,171,328,0
2.46,175,321,0
2.48,179,311,0
2.50,186,299,0
2.52,200,283,0
2.54,216,271,0
2.56,218,270,0
2.58,218,270,0
2.60,218,269,0
2.62,218,269,0
2.64,218,269,0
2.66,218,269,0
2.68,218,269,0
2.70,218,269,0
2.72,225,272,0
2.74,268,275,0
2.76,333,269,0
2.78,415,250,0
2.80,494,211,0
2.82,583,124,0
2.84,622,54,0
2.86,623,22,0
2.88,602,5,0
2.90,542,5,0
2.92,435,39,0
2.94,344,87,0
2.96,302,138,0
2.98,307,175,0
3.00,356,205,0
3.02,458,221,0
3.04,579,219,0
3.06,663,197,0
3.08,674,182,0
3.10,673,163,0
3.12,668,153,0
3.14,662,147,0
3.16,649,138,0
3.18,630,131,0
3.20,605,124,0
3.22,575,121,0
3.24,554,121,0
3.26,540,125,0
3.28,501,144,0
3.30,397,207,0
3.32,191,370,0
