#Date,TotalDistance
2026/04/17 18:20:47,572.2
#Screen_X,Screen_Y,GazeDataCount
820,487,54
#GameTime,Gaze_X,Gaze_Y,SourceId
0.60,372,215,0
0.62,372,215,0
0.64,372,215,0
0.66,372,215,0
0.68,372,215,0
0.70,372,215,0
0.72,372,215,0
0.74,372,215,0
0.76,372,215,0
0.78,372,215,0
0.80,372,215,0
0.82,372,215,0
0.84,372,215,0
0.86,372,215,0
0.88,372,215,0
0.90,372,215,0
0.92,372,215,0
0.94,376,214,0
0.96,379,213,0
0.98,387,213,0
1.00,398,213,0
1.02,419,219,0
1.04,444,231,0
1.06,464,240,0
1.08,476,247,0
1.10,481,250,0
1.12,485,253,0
1.14,491,258,0
1.16,498,263,0
1.18,503,267,0
1.20,505,269,0
1.22,506,270,0
1.24,506,271,0
1.26,506,271,0
1.28,506,271,0
1.30,506,271,0
1.32,506,271,0
1.34,506,271,0
1.36,506,271,0
1.38,506,271,0
1.40,506,271,0
1.42,505,271,0
1.44,505,271,0
1.46,505,271,0
1.48,505,271,0
1.50,505,271,0
1.52,505,271,0
1.54,504,271,0
1.56,502,271,0
1.58,486,271,0
1.60,428,265,0
1.62,341,259,0
1.64,230,259,0
1.66,85,264,0
