#Date,TotalDistance
2026/04/02 16:22:31,15571.2
#Screen_X,Screen_Y,GazeDataCount
1015,664,737
#GameTime,Gaze_X,Gaze_Y
0.70,664,217
0.72,664,217
0.74,664,217
0.76,665,217
0.78,665,217
0.80,666,218
0.82,668,221
0.84,673,232
0.86,677,244
0.88,685,275
0.90,690,314
0.92,693,340
0.94,694,366
0.96,696,402
0.98,698,425
1.00,702,458
1.02,704,485
1.04,704,500
1.06,704,513
1.08,703,526
1.10,700,535
1.12,695,541
1.14,687,547
1.16,677,558
1.18,668,568
1.20,643,587
1.22,607,605
1.24,577,613
1.26,546,619
1.28,516,625
1.30,455,632
1.32,425,633
1.34,398,633
1.36,367,629
1.38,353,624
1.40,337,611
1.42,325,588
1.44,318,562
1.46,310,534
1.48,302,486
1.50,296,432
1.52,290,400
1.54,280,372
1.56,262,339
1.58,237,320
1.60,215,315
1.62,180,316
1.64,155,323
1.66,132,332
1.68,107,349
1.70,90,370
1.72,83,384
1.74,80,401
1.76,84,430
1.78,93,451
1.80,119,481
1.82,155,510
1.84,183,526
1.86,213,540
1.88,263,553
1.90,318,557
1.92,357,558
1.94,399,556
1.96,476,548
1.98,535,542
2.00,637,529
2.02,742,517
2.04,811,513
2.06,880,508
2.08,971,504
2.10,1052,503
2.12,1093,503
2.14,1125,502
2.16,1160,494
2.18,1172,485
2.20,1185,461
2.22,1189,438
2.24,1190,395
2.26,1190,362
2.28,1182,313
2.30,1164,273
2.32,1153,250
2.34,1142,230
2.36,1124,206
2.38,1109,193
2.40,1077,174
2.42,1036,159
2.44,1003,154
2.46,964,152
2.48,872,151
2.50,790,156
2.52,757,161
2.54,732,167
2.56,701,180
2.58,681,191
2.60,659,208
2.62,645,229
2.64,640,248
2.66,638,268
2.68,637,302
2.70,638,336
2.72,640,357
2.74,640,374
2.76,641,396
2.78,643,409
2.80,659,431
2.82,695,456
2.84,749,480
2.86,818,509
2.88,941,556
2.90,1078,601
2.92,1162,623
2.94,1226,636
2.96,1276,643
2.98,1292,644
3.00,1309,643
3.02,1323,638
3.04,1329,634
3.06,1333,630
3.08,1334,624
3.10,1334,610
3.12,1332,597
3.14,1328,577
3.16,1315,543
3.18,1303,519
3.20,1278,483
3.22,1248,450
3.24,1228,431
3.26,1210,415
3.28,1194,402
3.30,1163,384
3.32,1145,377
3.34,1123,371
3.36,1090,364
3.38,1070,361
3.40,1042,358
3.42,1014,357
3.44,997,358
3.46,980,360
3.48,963,361
3.50,938,363
3.52,935,363
3.54,934,364
3.56,940,376
3.58,958,394
3.60,995,428
3.62,1037,468
3.64,1060,492
3.66,1080,515
3.68,1100,544
3.70,1112,565
3.72,1118,577
3.74,1122,587
3.76,1128,602
3.78,1131,611
3.80,1134,621
3.82,1139,630
3.84,1141,632
3.86,1142,634
3.88,1142,634
3.90,1142,634
3.92,1142,634
3.94,1142,634
3.96,1142,634
3.98,1142,634
4.00,1142,634
4.02,1142,634
4.04,1142,634
4.06,1142,634
4.08,1142,634
4.10,1137,632
4.12,1134,631
4.14,1134,630
4.16,1133,630
4.18,1133,630
4.20,1132,629
4.22,1128,628
4.24,1127,627
4.26,1127,627
4.28,1127,626
4.30,1126,626
4.32,1126,626
4.34,1124,626
4.36,1120,624
4.38,1117,624
4.40,1107,623
4.42,1092,622
4.44,1084,621
4.46,1076,620
4.48,1067,619
4.50,1065,619
4.52,1064,619
4.54,1063,618
4.56,1061,618
4.58,1060,618
4.60,1056,617
4.62,1052,616
4.64,1050,615
4.66,1049,614
4.68,1044,613
4.70,1041,612
4.72,1035,610
4.74,1032,609
4.76,1028,607
4.78,1025,606
4.80,1022,604
4.82,1017,602
4.84,1014,600
4.86,1011,599
4.88,1005,595
4.90,998,592
4.92,991,588
4.94,984,584
4.96,978,580
4.98,974,577
5.00,969,572
5.02,963,566
5.04,959,560
5.06,955,555
5.08,950,547
5.10,945,538
5.12,942,531
5.14,938,524
5.16,935,514
5.18,934,510
5.20,932,504
5.22,929,498
5.24,926,493
5.26,922,489
5.28,917,484
5.30,908,478
5.32,898,472
